diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,epoch_mjd,a,e,i,om,w,ma,full_name,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
1.024,1.11 x 0.53 x 0.50,0.203,14.904,,,,,Sq,,59800,1.078,0.3494,9.43,33.07,55.37,258.14,Bacchus,0.701,1.45,1.12,16584,0,956,7,5,17.28
115,,0.040,8.1789,,0.683,0.235,,,FC,59800,2.686,0.2426,9.82,90.78,336.96,352.71,Cava,2.034,3.34,4.4,43339,0,3417,,,8.82
97.262,,0.028,9.036,,0.705,0.318,,,XC,59800,2.618,0.2024,5.18,143.46,314.19,342.29,Kalypso,2.088,3.15,4.24,57226,0,3888,1,0,8.90
60.62,,0.1746,6.337,,0.859,0.443,,,S,59800,2.668,0.1168,15.20,170.57,62.47,308.56,Bianca,2.356,2.98,4.36,51784,0,3721,,,8.62
407.12,,0.0717,13.828,7.,0.696,0.351,,C,C,59800,3.141,0.1114,3.83,283.18,312.52,4.28,Hygiea,2.791,3.49,5.57,63225,0,3761,,,5.60
86.09,,0.1808,10.927,,0.705,0.298,,X,M,59800,2.732,0.0801,5.96,56.78,282.07,109.89,Lydia,2.513,2.95,4.52,10168,0,2972,,,7.92
1.4,,0.092,4.095,,,,,,,59800,1.063,0.4831,8.89,325.53,121.41,324.82,Castalia,0.550,1.58,1.1,12031,0,343,8,7,17.53
123.891,,0.065,26.468,,,,,,,59800,3.17,0.1919,9.14,326.19,268.16,95.33,Philosophia,2.562,3.78,5.65,41860,0,3592,,,9.19
15.58,,0.0875,8.36,,,,,,,59800,2.392,0.1053,13.80,349.74,80.12,83.10,Daphne,2.140,2.64,3.7,24733,0,3186,,,12.19
173.642,,0.059,8.567,,,,,B,BFC,59800,3.164,0.2536,23.80,327.27,115.09,303.46,Palma,2.362,3.97,5.63,47132,0,3069,,,7.40
27.831,,0.339,4.45,,0.874,0.424,,S,S,59800,2.777,0.1309,7.01,232.39,157.00,321.66,Holmia,2.414,3.14,4.63,46969,0,3660,,,9.89
38,,0.04,15.918,,,,,,,59800,44.51,0.0524,2.44,159.20,186.73,309.68,Arrokoth,42.174,46.84,297,118,5,58,,,11.06
303.918,,0.057,5.6304,,0.679,0.338,,C,CF,59800,3.095,0.1108,7.48,128.59,343.04,94.96,Europa,2.752,3.44,5.44,59210,0,3639,,,6.58
3.4,,,12.76129,662.2e-9,,,,,,57687,3.464,0.6419,7.05,50.05,12.84,67.20,c67P,1.241,5.69,6.45,3332,0,7273,,,
135.680,,0.241,8.098,,0.854,0.463,,S,S,59800,2.409,0.1432,0.71,205.96,257.55,73.25,Massalia,2.064,2.75,3.74,60491,0,2851,,,6.59
147.969,,0.058,8.705,,0.711,0.374,,Ch,C,59800,3.065,0.1533,13.00,243.00,153.54,295.08,Arethusa,2.595,3.53,5.36,54767,0,3506,,,8.07
122,276x94x78,0.1164,5.385,,0.713,0.238,,Xe,M,59800,2.795,0.2515,13.12,215.32,179.79,324.43,Kleopatra,2.092,3.50,4.67,51996,0,4318,1,0,7.09
34.349,,0.039,22.08,,,,,,,59800,3.173,0.2387,20.09,320.49,26.50,343.02,Hartley,2.415,3.93,5.65,15016,0,2410,,,11.48
5.7,,0.195,2.689,,,,,Sl,,59800,2.15,0.5055,23.96,188.29,194.52,144.80,Cuyo,1.063,3.24,3.15,24858,0,2675,0,2,14.36
180.652,,0.086,5.225,,0.753,0.483,,Ch,G,59800,3.127,0.2095,22.78,145.01,237.65,159.68,Elektra,2.472,3.78,5.53,46998,0,3869,,,7.32
21.525,,0.077,16.022,,,,,,,59800,3.168,0.1438,3.45,95.23,188.91,12.23,Halley,2.713,3.62,5.64,26315,0,3628,,,11.92
0.53,,0.151,6.026,,,,,Q,,59800,2.486,0.6124,2.27,209.48,68.67,310.84,Golevka,0.963,4.01,3.92,8968,0,1017,20,20,19.22
232,,0.0671,6.042,,0.681,0.305,,B,CF,59800,2.769,0.1618,5.21,276.43,36.62,305.29,Thisbe,2.321,3.22,4.61,57049,0,4094,,,7.32
5.160,,0.300,6.049,,,,,,,59800,2.364,0.1452,9.93,55.34,251.00,256.24,Steins,2.021,2.71,3.64,25768,0,3962,,,13.06
